Score,Latitude,Longitude,Location,Price,Size,Title,Matched Criteria,Penalties,URL,Description
9,42.921498,22.930445,"t. Драгоман, област София, Bulgaria",26 990 € (1 038 €/m 2 ) Цената е с включено ДДС,26 кв.м,"Продава ВИЛА област София, гр. Драгоман Обява: 1k178643881939432","+вода(+10), +кладенец(+5), +двор(+4)",панел(-10),https://www.imot.bg/obiava-1k178643881939432-prodava-vila-oblast-sofiya-gr-dragoman,"За повече информация обадете ни се на тел: 0882 817 459 или 02 425 68 21 и цитирайте референтния номер на имота: Sf 91221. Отговорен брокер: Сергей Пеловски Предлагаме за продажба имот, разположен във вилна зона в близост до гр. Драгоман, на около 30..."
9,42.978195,23.437995,"v. Лесковдол, област София, Bulgaria",6 500 € (283 €/m 2 ) Не се начислява ДДС История на цената,23 кв.м,"Продава ВИЛА област София, с. Лесковдол Обява: 1k164927567925426","+ток(+10), +вода(+10), +панорама(+4)",за ремонт(-15),https://www.imot.bg/obiava-1k164927567925426-prodava-vila-oblast-sofiya-s-leskovdol,Паянтова едноетажна постройка. Терен с лека денивелация.Панорама.В сеседство обитаеми къщи.Достъп по макадан 3км.Ток и вода до имота.За ремонт.тел.0876115191...
9,42.3615373,23.3804767,"v. Белчин, област София, Bulgaria",33 000 € (943 €/m 2 ) Цената е с включено ДДС,35 кв.м,"Продава ВИЛА област София, с. Белчин Обява: 1k172407041993178","+ток(+10), +вода(+10), +двор(+4)",груб строеж(-15),https://www.imot.bg/obiava-1k172407041993178-prodava-vila-oblast-sofiya-s-belchin,За повече информация обадете ни се на тел: 0882 817 460 или 02 425 68 22 и цитирайте референтния номер на имота: Bo 85426. Отговорен брокер: Стефан Абанозов Предлагаме за покупка едноетажна вила на груб строеж с двор в село Белчин месност Фусково Хан...
8,42.4979,23.88945,"v. Белица, област София, Bulgaria",42 000 € (618 €/m 2 ) Цената е с включено ДДС История на цената,68 кв.м,"Продава КЪЩА област София, с. Белица Обява: 1j178415462467965","+панорама(+4), +двор(+4)",,https://www.imot.bg/obiava-1j178415462467965-prodava-kashta-oblast-sofiya-s-belitsa,"СЕРДИКА 1 Недвижими имоти представя на Вашето внимание къща с двор в живописното село Белица, махала Бойчиновци. Имотът е идеалното решение за хора, търсещи бягство от градския шум, без да губят връзка с цивилизацията. Основни предимства: Локация: Ти..."
8,42.387972,23.725968,"v. Очуша, област София, Bulgaria",25 500 € (510 €/m 2 ) История на цената,50 кв.м,"Продава КЪЩА област София, с. Очуша Обява: 1j168856023293723","+панорама(+4), +двор(+4)",,https://www.imot.bg/obiava-1j168856023293723-prodava-kashta-oblast-sofiya-s-ochusha,"Стара селска къща със ЗП 50 кв.м. с паянтова конструкция и основи от дялан камък, ведно с двор УПИ 552 кв.м. и две стопански постройки съответно 54 и 30 кв.м. Южно изложение с прекрасна панорама към Рила планина. Разпределението е както следва: на пр..."
5,42.669563,23.602143,"t. Елин Пелин, област София, Bulgaria",34 300 € (581 €/m 2 ) Цената е без ДДС История на цената,59 кв.м,"Продава КЪЩА област София, гр. Елин Пелин Обява: 1j178220102367868",+отопление(+5),,https://www.imot.bg/obiava-1j178220102367868-prodava-kashta-oblast-sofiya-gr-elin-pelin,"Продава се съвременна къща 59 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел Family разполага с просторна всекидневна с кухня, две спални, баня и тоалетна. Подробното разпределение можете да видите в приложен..."
5,42.813649,23.215651,"t. Костинброд, област София, Bulgaria",34 300 € (581 €/m 2 ) Цената е без ДДС История на цената,59 кв.м,"Продава КЪЩА област София, гр. Костинброд Обява: 1j178216261310059",+отопление(+5),,https://www.imot.bg/obiava-1j178216261310059-prodava-kashta-oblast-sofiya-gr-kostinbrod,"Продава се съвременна къща 59 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел Family разполага с просторна всекидневна с кухня, две спални, баня и тоалетна. Подробното разпределение можете да видите в приложен..."
5,42.896126,23.914893,"t. Правец, област София, Bulgaria",26 900 € (640 €/m 2 ) Цената е без ДДС История на цената,42 кв.м,"Продава КЪЩА област София, гр. Правец Обява: 1j178205473190090",+отопление(+5),,https://www.imot.bg/obiava-1j178205473190090-prodava-kashta-oblast-sofiya-gr-pravets,"Продава се съвременна къща 42 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел XL разполага с просторна всекидневна с кухненски бокс, две спални и баня с тоалетна. Подробното разпределение можете да видите в пр..."
5,42.764188,23.196763,"t. Божурище, област София, Bulgaria",34 300 € (581 €/m 2 ) Цената е без ДДС История на цената,59 кв.м,"Продава КЪЩА област София, гр. Божурище Обява: 1j178216253511076",+отопление(+5),,https://www.imot.bg/obiava-1j178216253511076-prodava-kashta-oblast-sofiya-gr-bozhurishte,"Продава се съвременна къща 59 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел Family разполага с просторна всекидневна с кухня, две спални, баня и тоалетна. Подробното разпределение можете да видите в приложен..."
5,42.763288,23.196763,"t. Божурище, област София, Bulgaria",26 900 € (640 €/m 2 ) Цената е без ДДС История на цената,42 кв.м,"Продава КЪЩА област София, гр. Божурище Обява: 1j178203370158907",+отопление(+5),,https://www.imot.bg/obiava-1j178203370158907-prodava-kashta-oblast-sofiya-gr-bozhurishte,"Продава се съвременна къща 42 м² с две спални, подходяща за целогодишно живеене, ваканционен имот или втори дом. Модел XL разполага с просторна всекидневна с кухненски бокс, две спални и баня с тоалетна. Подробното разпределение можете да видите в пр..."
